session state change to: 2 from 1
acceleration - x: -0.8982391357421875, y: -0.02569580078125, z: 0.51043701171875
acceleration - x: -0.886810302734375, y: -0.094696044921875, z: 0.55413818359375
acceleration - x: -0.84796142578125, y: -0.0861358642578125, z: 0.6252593994140625
acceleration - x: -0.8400421142578125, y: -0.0366363525390625, z: 0.6722259521484375
acceleration - x: -0.8817596435546875, y: -0.000946044921875, z: 0.697723388671875
acceleration - x: -0.8932342529296875, y: 0.0010223388671875, z: 0.6772613525390625
acceleration - x: -0.8679351806640625, y: -0.01397705078125, z: 0.707366943359375
acceleration - x: -0.8426361083984375, y: 0.0007171630859375, z: 0.729705810546875
acceleration - x: -0.8551788330078125, y: 0.0357513427734375, z: 0.6915740966796875
acceleration - x: -0.8747711181640625, y: 0.08544921875, z: 0.629913330078125
acceleration - x: -0.8816375732421875, y: 0.11273193359375, z: 0.5853424072265625
acceleration - x: -0.8690338134765625, y: 0.127288818359375, z: 0.539215087890625
acceleration - x: -0.8660888671875, y: 0.12298583984375, z: 0.544097900390625
acceleration - x: -0.8711090087890625, y: 0.1095428466796875, z: 0.569122314453125
acceleration - x: -0.8596038818359375, y: 0.1100616455078125, z: 0.5587005615234375
acceleration - x: -0.8373260498046875, y: 0.137481689453125, z: 0.4887542724609375
acceleration - x: -0.8347930908203125, y: 0.1925506591796875, z: 0.3869171142578125
acceleration - x: -0.859619140625, y: 0.2594146728515625, z: 0.31768798828125
acceleration - x: -0.896148681640625, y: 0.27880859375, z: 0.311737060546875
acceleration - x: -0.8827667236328125, y: 0.249359130859375, z: 0.3468475341796875
acceleration - x: -0.85498046875, y: 0.19183349609375, z: 0.3628997802734375
acceleration - x: -0.8249969482421875, y: 0.1742401123046875, z: 0.259796142578125
acceleration - x: -0.8269500732421875, y: 0.2714691162109375, z: 0.1083221435546875
acceleration - x: -0.8873291015625, y: 0.41265869140625, z: 0.005706787109375
acceleration - x: -0.949432373046875, y: 0.528472900390625, z: 0.0515289306640625
